         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.009    0.000 sre_compile.py:598(_code)
     2789    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     1971    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
    470/3    0.000    0.000    0.278    0.093 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      130    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
      426    0.000    0.000    0.003    0.000 colors.py:137(is_color_like)
       37    0.000    0.000    0.003    0.000 __init__.py:1243(_add_data_doc)
  192/167    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       24    0.000    0.000    0.001    0.000 traceback.py:321(extract)
     2154    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1390    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
     33/5    0.000    0.000    0.000    0.000 pyparsing.py:3928(streamline)
      101    0.000    0.000    0.000    0.000 inspect.py:534(_findclass)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      692    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f7986e31d30}
      239    0.000    0.000    0.002    0.000 rcsetup.py:370(validate_color_for_prop_cycle)
      175    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      138    0.000    0.000    0.003    0.000 rcsetup.py:85(f)
       17    0.000    0.000    0.004    0.000 rcsetup.py:880(validate_cycler)
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
     2138    0.000    0.000    0.000    0.000 inspect.py:2539(kind)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      708    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      415    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
      194    0.000    0.000    0.000    0.000 pyplot.py:83(_copy_docstring_and_deprecators)
      179    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       32    0.000    0.000    0.001    0.000 colors.py:302(to_rgba_array)
        1    0.000    0.000    0.014    0.014 pyparsing.py:27(<module>)
       55    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       63    0.000    0.000    0.002    0.000 colors.py:987(<dictcomp>)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      100    0.000    0.000    0.000    0.000 font_manager.py:951(_json_decode)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        2    0.000    0.000    0.011    0.005 core.py:1(<module>)
      769    0.000    0.000    0.000    0.000 __init__.py:823(<lambda>)
        1    0.000    0.000    0.009    0.009 _axes.py:46(Axes)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      722    0.000    0.000    0.000    0.000 rcsetup.py:241(validator)
      147    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        3    0.000    0.000    0.000    0.000 legend_handler.py:385(__init__)
       56    0.000    0.000    0.001    0.000 __init__.py:687(_open_file_or_url)
       83    0.000    0.000    0.000    0.000 pyparsing.py:3870(__init__)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       30    0.000    0.000    0.000    0.000 numeric.py:1816(isscalar)
      432    0.000    0.000    0.000    0.000 colors.py:241(<genexpr>)
      705    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      158    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
       33    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.003    0.003 _mathtext.py:2505(<listcomp>)
       29    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
     1117    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
