         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1321    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      872    0.000    0.000    0.001    0.000 colors.py:132(_is_nth_color)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       24    0.000    0.000    0.001    0.000 traceback.py:321(extract)
     1725    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
      717    0.000    0.000    0.023    0.000 inspect.py:3091(signature)
        3    0.000    0.000    0.000    0.000 {built-in method gc.collect}
     3636    0.000    0.000    0.000    0.000 inspect.py:2527(name)
      266    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      295    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       88    0.000    0.000    0.003    0.000 deprecation.py:353(delete_parameter)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      267    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      963    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      720    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      596    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
      561    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      233    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000    0.002    0.002 pyplot.py:2262(_setup_pyplot_info_docstrings)
      174    0.000    0.000    0.001    0.000 enum.py:833(__and__)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      471    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       32    0.000    0.000    0.004    0.000 colors.py:915(from_list)
      943    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      514    0.000    0.000    0.011    0.000 re.py:198(search)
        2    0.000    0.000    0.011    0.006 core.py:1(<module>)
      834    0.000    0.000    0.000    0.000 inspect.py:513(_is_wrapper)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      101    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     2475    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      943    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1971    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      306    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
  192/167    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      456    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      174    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
    97/54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      130    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     2789    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
    470/3    0.000    0.000    0.271    0.090 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
       37    0.000    0.000    0.003    0.000 __init__.py:1243(_add_data_doc)
     1971    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      138    0.000    0.000    0.003    0.000 rcsetup.py:85(f)
      426    0.000    0.000    0.003    0.000 colors.py:137(is_color_like)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2138    0.000    0.000    0.000    0.000 inspect.py:2539(kind)
